t,elapsed,lat,lon,speed_kmh,hr,cadence,distance_m
13:44:49,0.0,22.235952,114.187011,28.09,95,46,2.7
13:44:53,4.0,22.235992,114.187066,19.69,94,43,6.7
13:44:54,5.0,22.235996,114.187065,17.91,94,43,7.1
13:44:56,7.0,22.236005,114.187057,15.31,91,40,8.2
13:44:57,8.0,22.236011,114.187054,15.51,94,40,8.9
13:45:04,15.0,22.236056,114.187035,2.7,94,40,14.3
13:45:05,16.0,22.236059,114.187034,0.0,98,40,14.7
13:45:09,20.0,22.236062,114.187051,2.39,105,34,16.6
13:45:11,22.0,22.236059,114.187073,2.5,108,35,18.9
13:45:14,25.0,22.236048,114.18712,3.41,109,43,23.9
13:45:18,29.0,22.236035,114.187189,5.01,111,46,31.2
13:45:23,34.0,22.236045,114.187318,8.16,117,48,44.6
13:45:24,35.0,22.236059,114.187376,9.1,122,48,50.7
13:45:25,36.0,22.236059,114.187376,9.1,122,48,50.7
13:45:26,37.0,22.236067,114.187407,9.55,126,48,54.0
13:45:28,39.0,22.236086,114.187469,10.47,132,48,60.8
13:45:30,41.0,22.236108,114.187522,10.7,137,48,66.8
13:45:32,43.0,22.236139,114.187575,11.06,137,48,73.2
13:45:38,49.0,22.236257,114.187754,11.52,140,48,95.9
13:45:39,50.0,22.236257,114.187754,11.52,141,48,95.9
13:45:43,54.0,22.236337,114.187839,11.52,144,49,108.4
13:45:46,57.0,22.236405,114.187893,11.38,148,49,117.8
13:45:53,64.0,22.236578,114.18797,10.94,145,49,138.5
13:45:57,68.0,22.236679,114.187984,10.53,149,49,149.8
13:46:00,71.0,22.236759,114.187983,10.48,150,48,158.7
13:46:06,77.0,22.23691,114.187941,10.42,149,49,176.0
13:46:11,82.0,22.237042,114.18789,10.74,146,49,191.6
13:46:13,84.0,22.237095,114.187863,11.01,145,49,198.1
13:46:18,89.0,22.237231,114.187792,11.63,142,49,214.8
13:46:21,92.0,22.237311,114.187761,11.74,142,49,224.2
13:46:27,98.0,22.237468,114.187674,11.71,139,49,243.7
